Date,Price,Inventory
2020/1/24,12990,192762
2020/1/23,13300,192912
2020/1/22,13645,187914
2020/1/21,13750,186324
2020/1/20,13845,187782
2020/1/17,13840,182934
2020/1/16,14290,183012
2020/1/15,13950,178584
2020/1/14,13680,177600
2020/1/13,14190,173502
2020/1/10,14050,171066
2020/1/9,14125,167910
2020/1/8,13810,166098
2020/1/7,13860,161436
2020/1/6,13795,159450
2020/1/3,13740,156378
2020/1/2,14075,153318
2019/12/31,14000,150690
2019/12/30,14225,146694
2019/12/27,14000,143190
2019/12/24,14290,143190
2019/12/23,14395,140370
2019/12/20,14220,140412
2019/12/19,14035,136770
2019/12/18,13850,133710
2019/12/17,14090,130224
2019/12/16,14085,124158
2019/12/13,14145,123228
2019/12/12,13810,122058
2019/12/11,13535,96774
2019/12/10,13070,83520
2019/12/9,13200,69276
2019/12/6,13420,68886
2019/12/5,13165,68922
2019/12/4,13250,68976
2019/12/3,13600,68982
2019/12/2,13625,69036
2019/11/29,13810,68280
2019/11/28,14070,67542
2019/11/27,14445,67692
2019/11/26,14370,67824
2019/11/25,14570,66822
2019/11/22,14400,66750
2019/11/21,14410,66822
2019/11/20,14310,66924
2019/11/19,14475,66174
2019/11/18,14760,64830
2019/11/15,14990,64566
2019/11/14,15355,64176
2019/11/13,15530,64194
2019/11/12,15500,65412
2019/11/11,15730,65064
2019/11/8,16190,66072
2019/11/7,16305,66474
2019/11/6,16390,66588
2019/11/5,16235,69474
2019/11/4,16595,69180
2019/11/1,16750,66306
2019/10/31,16835,66990
2019/10/30,16900,67908
2019/10/29,16680,69162
2019/10/28,16680,70650
2019/10/25,16890,76758
2019/10/24,16950,79800
2019/10/23,16395,83694
2019/10/22,16025,87132
2019/10/21,16200,86104
2019/10/18,16475,86580
2019/10/17,16325,88302
2019/10/16,17005,91062
2019/10/15,17070,94662
2019/10/14,17405,94134
2019/10/11,18000,98562
2019/10/10,17750,102696
2019/10/9,17745,108624
2019/10/8,17560,117522
2019/10/7,17950,125688
2019/10/4,17905,133128
2019/10/3,17785,140904
2019/10/2,17670,147684
2019/10/1,17410,152136
2019/9/30,17570,157986
2019/9/27,17410,158112
2019/9/26,17365,157248
2019/9/25,17195,153546
2019/9/24,17270,156108
2019/9/23,17760,156954
2019/9/20,17960,154566
2019/9/19,17270,157770
2019/9/18,17230,161538
2019/9/17,17000,163308
2019/9/16,17295,164274
2019/9/13,17820,166680
2019/9/12,18200,156420
2019/9/11,18330,156672
